Time (ps),RMSD (nm)
3860.0, 0.2896854
3870.0, 0.2845673
3880.0, 0.304996
3890.0, 0.3057919
3900.0, 0.2868207
3910.0, 0.2784329
3920.0, 0.261392
3930.0, 0.2703242
3940.0, 0.2680522
3950.0, 0.2876787
3960.0, 0.2800871
3970.0, 0.2972808
3980.0, 0.3246089
3990.0, 0.3162589
4000.0, 0.2956651
4010.0, 0.3048728
4020.0, 0.3439748
4030.0, 0.3348048
4040.0, 0.342754
4050.0, 0.3370183
4060.0, 0.3320193
4070.0, 0.3222929
4080.0, 0.2699187
4090.0, 0.2896951
4100.0, 0.2667536
4110.0, 0.2873279
4120.0, 0.2986841
4130.0, 0.3119009
4140.0, 0.3132461
4150.0, 0.3179535
4160.0, 0.3319146
4170.0, 0.3560053
4180.0, 0.3681892
4190.0, 0.3372745
4200.0, 0.3439843
4210.0, 0.3180288
4220.0, 0.3273325
4230.0, 0.3332753
4240.0, 0.3549673
4250.0, 0.3169647
4260.0, 0.3142811
4270.0, 0.3265035
4280.0, 0.3253429
4290.0, 0.3187302
4300.0, 0.3074255
4310.0, 0.2850491
4320.0, 0.281733
4330.0, 0.2742026
4340.0, 0.2662446
4350.0, 0.2838579
4360.0, 0.3190924
4370.0, 0.3001907
4380.0, 0.2956776
4390.0, 0.2961987
4400.0, 0.301194
4410.0, 0.3321675
4420.0, 0.3466339
4430.0, 0.34511
4440.0, 0.3467902
4450.0, 0.3278902
4460.0, 0.3757156
4470.0, 0.3623611
4480.0, 0.3628048
4490.0, 0.3732042
4500.0, 0.3424949
4510.0, 0.2967215
4520.0, 0.3216203
4530.0, 0.3763735
4540.0, 0.3746123
4550.0, 0.3616215
4560.0, 0.3938059
4570.0, 0.3753381
4580.0, 0.3767307
4590.0, 0.377247
4600.0, 0.3479513
4610.0, 0.3516231
4620.0, 0.3368794
4630.0, 0.3555993
4640.0, 0.3681015
4650.0, 0.3771344
4660.0, 0.3459604
4670.0, 0.3762177
4680.0, 0.3305947
4690.0, 0.3295815
4700.0, 0.3467073
4710.0, 0.3284434
4720.0, 0.3380852
4730.0, 0.3614464
4740.0, 0.350136
4750.0, 0.3810172
4760.0, 0.3856247
4770.0, 0.3699159
4780.0, 0.3848805
4790.0, 0.3689376
4800.0, 0.3605612
4810.0, 0.3485913
4820.0, 0.3186308
4830.0, 0.3244598
4840.0, 0.3368132
4850.0, 0.3194963
4860.0, 0.3326979
4870.0, 0.3387889
4880.0, 0.3339547
4890.0, 0.3544336
4900.0, 0.3234187
4910.0, 0.315111
4920.0, 0.3220158
4930.0, 0.3461817
4940.0, 0.3618685
4950.0, 0.3521141
4960.0, 0.3812418
4970.0, 0.3723854
4980.0, 0.3997146
4990.0, 0.4115561
5000.0, 0.3956659
5010.0, 0.401275
5020.0, 0.3833141
5030.0, 0.3828795
5040.0, 0.4012725
5050.0, 0.3744622
5060.0, 0.3742498
5070.0, 0.3484229
5080.0, 0.3713198
5090.0, 0.4355257
5100.0, 0.4461928
5110.0, 0.4409211
5120.0, 0.4061692
5130.0, 0.370017
5140.0, 0.405432
5150.0, 0.3932659
5160.0, 0.3926882
5170.0, 0.4057338
5180.0, 0.3935449
5190.0, 0.4088295
5200.0, 0.4016671
5210.0, 0.3899848
5220.0, 0.3661204
5230.0, 0.3466509
5240.0, 0.3577081
5250.0, 0.3668096
5260.0, 0.3412043
5270.0, 0.3455992
5280.0, 0.341577
5290.0, 0.3033594
5300.0, 0.2908629
5310.0, 0.2639182
5320.0, 0.238129
5330.0, 0.2500003
5340.0, 0.2828605
5350.0, 0.2905457
5360.0, 0.2922575
5370.0, 0.3125538
5380.0, 0.3457929
5390.0, 0.3035949
5400.0, 0.3093285
5410.0, 0.3216799
5420.0, 0.3215429
5430.0, 0.3296395
5440.0, 0.2981605
5450.0, 0.3132547
5460.0, 0.3029434
5470.0, 0.3274664
5480.0, 0.3545167
5490.0, 0.3580645
5500.0, 0.3738455
5510.0, 0.3484372
5520.0, 0.3348204
5530.0, 0.327863
5540.0, 0.3345526
5550.0, 0.3160562
5560.0, 0.3104802
5570.0, 0.3066313
5580.0, 0.3097365
5590.0, 0.3353005
5600.0, 0.3612532
5610.0, 0.3555076
5620.0, 0.341858
5630.0, 0.3328981
5640.0, 0.3182212
5650.0, 0.2838832
5660.0, 0.2997442
5670.0, 0.3038986
5680.0, 0.3098422
5690.0, 0.3181703
5700.0, 0.2672329
5710.0, 0.2885805
5720.0, 0.3003359
5730.0, 0.3059198
5740.0, 0.3062783
5750.0, 0.2820957
5760.0, 0.2976855
5770.0, 0.3063806
5780.0, 0.3331658
5790.0, 0.3691415
5800.0, 0.3667989
5810.0, 0.367881
5820.0, 0.3588594
5830.0, 0.316842
5840.0, 0.2923445
5850.0, 0.304044
5860.0, 0.310593
5870.0, 0.3339458
5880.0, 0.3696413
5890.0, 0.3549929
5900.0, 0.3272982
5910.0, 0.3528196
5920.0, 0.3593406
5930.0, 0.3619428
5940.0, 0.3916833
5950.0, 0.4058248
5960.0, 0.3738912
5970.0, 0.3581066
5980.0, 0.3233224
5990.0, 0.3081145
6000.0, 0.2778628
6010.0, 0.283363
6020.0, 0.2764739
6030.0, 0.3030865
6040.0, 0.2818773
6050.0, 0.2755006
6060.0, 0.298424
6070.0, 0.3007717
6080.0, 0.3021521
6090.0, 0.3399618
6100.0, 0.3743225
6110.0, 0.3943486
6120.0, 0.4029176
6130.0, 0.3690389
6140.0, 0.3742337
6150.0, 0.3966611
6160.0, 0.4013394
6170.0, 0.395029
6180.0, 0.3855833
6190.0, 0.3745411
6200.0, 0.3941256
6210.0, 0.4263222
6220.0, 0.4581675
6230.0, 0.4585193
6240.0, 0.4348355
6250.0, 0.4568659
6260.0, 0.4140987
6270.0, 0.4004284
6280.0, 0.387962
6290.0, 0.3688607
6300.0, 0.3406806
6310.0, 0.3461958
6320.0, 0.3437592
6330.0, 0.3841279
6340.0, 0.3558017
6350.0, 0.3710549
6360.0, 0.3774524
6370.0, 0.3441288
6380.0, 0.2905271
6390.0, 0.2929846
6400.0, 0.2886376
6410.0, 0.3112012
6420.0, 0.3477652
6430.0, 0.3611091
6440.0, 0.3955273
6450.0, 0.429114
6460.0, 0.4016846
6470.0, 0.4002564
6480.0, 0.4037574
6490.0, 0.4256291
6500.0, 0.4568562
6510.0, 0.4922905
6520.0, 0.4929019
6530.0, 0.4711832
6540.0, 0.452606
6550.0, 0.4122542
6560.0, 0.3991135
6570.0, 0.3902103
6580.0, 0.3717214
6590.0, 0.3704363
6600.0, 0.3780934
6610.0, 0.3970725
6620.0, 0.3918391
6630.0, 0.4040879
6640.0, 0.3823789
6650.0, 0.3655127
6660.0, 0.3855476
6670.0, 0.3477283
6680.0, 0.3727621
6690.0, 0.3851462
6700.0, 0.3716229
6710.0, 0.388894
6720.0, 0.3788278
6730.0, 0.3285248
6740.0, 0.3333554
6750.0, 0.3006044
6760.0, 0.291884
6770.0, 0.3243358
6780.0, 0.3131897
